"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","balance"
"1",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",108
"2",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",438
"3",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",108
"4",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",108
"5",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",348
"6",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",3
"7",18,"student","single","unknown","no","yes","no","cellular","may","thu",183,1,7,2,"success",-1.8,93.876,-40,0.677,5008.7,"no",35
"8",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",108
"9",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",438
"10",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",108
"11",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",108
"12",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",348
"13",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",3
"14",18,"student","single","unknown","no","yes","no","cellular","nov","tue",600,2,999,3,"failure",-1.1,94.767,-50.8,1.049,4963.6,"no",35
"15",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",108
"16",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",438
"17",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",108
"18",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",108
"19",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",348
"20",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",3
"21",18,"student","single","unknown","no","yes","no","cellular","sep","fri",563,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.803,5017.5,"yes",35
"22",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",108
"23",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",438
"24",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",108
"25",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",108
"26",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",348
"27",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",3
"28",18,"student","single","unknown","no","yes","no","cellular","may","tue",489,1,6,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",35
"29",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",108
"30",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",438
"31",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",108
"32",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",108
"33",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",348
"34",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",3
"35",18,"student","single","unknown","no","yes","no","telephone","may","tue",421,1,3,1,"success",-1.8,93.876,-40,0.668,5008.7,"yes",35
"36",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",108
"37",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",438
