rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,±èÇö¼ö,LG,0.362,117,511,453,95,164,39,2,20,267,101,0,10,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334
2,ÀÌÁ¤ÈÄ,³Ø¼¾,0.359,103,492,435,75,156,30,1,6,206,54,3,8,37,107,125,0.86,4,0.71,3.75,0.115,82.5,0.304
3,¾ÈÄ¡È«,KIA,0.353,116,492,445,82,157,35,1,22,260,107,0,7,58,97,145,0.67,13,0.62,3.46,0.231,93.5,0.326
4,¾çÀÇÁö,µÎ»ê,0.35,125,472,412,81,144,28,1,21,237,72,0,6,50,89,149,0.6,6,1.17,3.65,0.226,90.7,0.332
5,±èÀçÈ¯,µÎ»ê,0.349,131,571,501,103,175,36,1,44,345,132,0,7,81,92,117,0.79,16,0.44,3.82,0.339,129.1,0.36
6,ÀüÁØ¿ì,·Ôµ¥,0.347,129,545,495,105,172,35,2,27,292,76,1,2,64,119,130,0.92,3,0.54,3.77,0.242,103.2,0.329
7,±èÁÖÂù,KIA,0.346,107,415,379,62,131,21,0,16,200,83,2,9,37,93,115,0.81,8,0.41,3.33,0.182,70.2,0.302
8,¹Úº´È£,³Ø¼¾,0.344,107,462,378,81,130,19,0,40,269,108,0,3,59,70,76,0.92,8,0.61,4.14,0.368,107.8,0.384
9,À¯ÇÑÁØ,KT,0.339,110,430,386,55,131,19,1,18,206,74,1,1,38,99,108,0.92,8,0.82,3.86,0.194,75.1,0.315
10,ÃÖÇü¿ì,KIA,0.338,129,554,479,86,162,33,1,23,266,99,0,8,57,113,134,0.84,11,0.78,4.1,0.217,101.5,0.325
11,ÀÌ´ëÈ£,·Ôµ¥,0.338,129,541,482,74,163,29,0,33,291,114,0,4,62,110,144,0.76,16,0.59,3.71,0.266,103.8,0.332
12,ÀÌÀç¿ø,SK,0.336,121,436,375,58,126,23,0,15,194,53,4,4,38,98,96,1.02,2,0.73,4.03,0.181,74.9,0.316
13,ÃÖÁÖÈ¯,µÎ»ê,0.331,129,550,483,83,160,39,6,24,283,102,0,10,69,96,155,0.62,12,0.59,4.21,0.255,106.4,0.324
14,¼Õ¾Æ¼·,·Ôµ¥,0.329,126,554,492,101,162,29,4,23,268,81,1,1,56,161,80,2.01,8,0.64,4.03,0.215,99.6,0.317
15,Çã°æ¹Î,µÎ»ê,0.328,124,540,482,82,158,29,5,10,227,77,5,7,44,137,145,0.94,8,0.65,3.74,0.143,83,0.289
16,±¸ÀÚ¿í,»ï¼º,0.327,109,494,449,90,147,23,5,18,234,79,1,2,46,87,112,0.78,9,0.35,3.99,0.194,85.5,0.303
17,Ã¤Àº¼º,LG,0.326,133,552,506,74,165,34,2,23,272,115,0,5,59,124,127,0.98,6,0.35,3.73,0.211,92.7,0.302
18,·¯ÇÁ,»ï¼º,0.326,130,563,479,87,156,32,4,28,280,112,0,8,64,111,122,0.91,8,0.6,4.12,0.259,105.9,0.332
19,¹Ú°Ç¿ì,µÎ»ê,0.322,115,489,450,73,145,23,6,11,213,73,1,2,40,117,130,0.9,9,0.43,3.45,0.151,72.7,0.285
20,¹Ú¹Î¿ì,NC,0.322,107,423,379,64,122,21,5,5,168,32,3,4,31,123,89,1.38,2,0.55,3.85,0.121,63.3,0.281
21,³ª¼º¹ü,NC,0.318,136,584,525,103,167,34,3,23,276,89,0,5,60,137,100,1.37,12,0.32,3.76,0.208,99.6,0.302
22,¿ÀÀç¿ø,µÎ»ê,0.318,123,491,444,75,141,21,1,15,209,75,3,2,37,113,83,1.36,11,0.37,3.88,0.153,72.7,0.287
23,·Î¸Æ,SK,0.317,130,567,489,94,155,18,0,40,293,97,0,6,58,90,133,0.68,8,0.53,4,0.282,112.2,0.33
24,³ë¼ö±¤,SK,0.316,132,575,503,90,159,20,8,8,219,53,9,3,36,130,133,0.98,7,0.56,3.94,0.119,88.1,0.283
25,ÀÌÇüÁ¾,LG,0.315,112,468,422,81,133,25,0,12,194,38,5,0,37,108,101,1.07,4,0.36,3.72,0.145,68.4,0.284
26,È£À×,ÇÑÈ­,0.313,133,551,496,81,155,45,2,30,294,107,0,5,77,97,165,0.59,14,0.54,3.88,0.28,102.9,0.316
27,·ÎÇÏ½º,KT,0.312,133,593,519,107,162,28,1,40,312,110,1,2,69,118,114,1.04,8,0.51,4.06,0.289,112.3,0.328
28,±èÀçÈ£,µÎ»ê,0.309,123,439,379,72,117,18,0,15,180,72,3,6,33,75,119,0.63,6,0.64,3.98,0.166,68,0.292
29,¹ö³ªµð³ª,KIA,0.308,118,534,461,98,142,20,3,20,228,66,3,1,43,120,107,1.12,6,0.63,3.74,0.187,88.6,0.302
30,¹Îº´Çå,·Ôµ¥,0.307,103,430,384,61,118,18,0,15,181,55,2,5,33,104,108,0.96,7,0.54,3.59,0.164,64.7,0.283
